name,position,team,element,round,fixture,opponent_team,was_home,kickoff_time,value,selected,minutes,starts,total_points,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,bps,yellow_cards,red_cards,own_goals,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,clearances_blocks_interceptions,recoveries,tackles,influence,creativity,threat,ict_index,xP
Tony Yogane,MID,Brentford,661,34,338,16,False,2025-05-01T18:30:00Z,45,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Ben Winterburn,MID,Bournemouth,687,34,332,14,True,2025-04-27T13:00:00Z,45,1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Nathan Fraser,FWD,Wolves,546,34,340,11,True,2025-04-26T14:00:00Z,45,115709,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Christian Walton,GK,Ipswich,283,34,337,15,False,2025-04-26T14:00:00Z,43,18825,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Matthijs de Ligt,DEF,Man Utd,593,34,332,3,False,2025-04-27T13:00:00Z,48,342967,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Jack Hinshelwood,MID,Brighton,126,34,333,19,True,2025-04-26T14:00:00Z,49,7268,81,1,4,0,1,0,1,0,0,22,1,0,0,0.03,0.08,0.11,0.76,,,,,25.2,35.7,4.0,6.5,0.0
Antoine Semenyo,MID,Bournemouth,78,34,332,14,True,2025-04-27T13:00:00Z,57,877694,84,1,9,1,0,1,0,0,1,25,0,0,0,0.18,0.01,0.19,1.42,,,,,44.6,5.5,20.0,7.0,0.0
Marshall Munetsi,MID,Wolves,770,34,340,11,True,2025-04-26T14:00:00Z,50,14275,90,1,3,0,0,1,0,0,0,11,0,0,0,0.00,0.86,0.86,1.15,,,,,7.0,31.3,8.0,4.6,0.0
Will Dennis,GK,Bournemouth,599,34,332,14,True,2025-04-27T13:00:00Z,39,41919,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Omari Giraud-Hutchinson,MID,Ipswich,274,34,337,15,False,2025-04-26T14:00:00Z,52,27364,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Dane Scarlett,FWD,Spurs,500,34,335,12,False,2025-04-27T15:30:00Z,44,86602,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Joe Lumley,GK,Southampton,466,34,339,9,True,2025-04-26T14:00:00Z,40,49088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Dwight McNeil,MID,Everton,230,34,334,6,False,2025-04-26T11:30:00Z,51,131025,27,0,1,0,0,0,0,0,0,0,0,0,0,0.15,0.01,0.16,0.44,,,,,3.6,1.2,21.0,2.6,0.0
Kim Ji-soo,DEF,Brentford,96,34,338,16,False,2025-05-01T18:30:00Z,39,36036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Andy Irving,MID,West Ham,576,34,333,5,False,2025-04-26T14:00:00Z,47,2740,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
