name,position,team,element,round,fixture,opponent_team,was_home,kickoff_time,value,selected,transfers_in,transfers_out,transfers_balance,minutes,starts,total_points,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,bps,yellow_cards,red_cards,own_goals,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,clearances_blocks_interceptions,recoveries,tackles,influence,creativity,threat,ict_index,xP
Dominic Sadi,MID,Bournemouth,94,13,128,17,False,2025-11-29T15:00:00Z,45,4582,0,100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ian Poveda-Ocampo,MID,Sunderland,550,13,128,4,True,2025-11-29T15:00:00Z,48,2925,28,58,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Rayan Aït-Nouri,DEF,Man City,402,13,126,11,True,2025-11-29T15:00:00Z,57,568214,4768,14147,-9379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Carlos Baleba,MID,Brighton,167,13,127,16,False,2025-11-30T14:05:00Z,47,240641,3168,11568,-8400,6,0,1,0,0,0,0,0,0,3,0,0,0,0.00,0.00,0.00,0.01,3,3,0,0,5.0,0.1,0.0,0.5,0.0
James Wright,GK,Aston Villa,688,13,121,20,True,2025-11-30T14:05:00Z,40,58453,122,602,-480,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Jamie Bynoe-Gittens,MID,Chelsea,239,13,123,1,True,2025-11-30T16:30:00Z,61,15426,541,831,-290,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Dejan Kulusevski,MID,Spurs,583,13,129,10,True,2025-11-29T20:00:00Z,64,1561,29,44,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Wilfried Gnonto,MID,Leeds,351,13,126,13,False,2025-11-29T15:00:00Z,52,10494,130,308,-178,45,1,1,0,0,0,2,0,0,9,0,0,0,0.00,0.03,0.03,2.67,6,0,3,3,6.8,11.3,0.0,1.8,0.0
Lisandro Martínez,DEF,Man Utd,437,13,124,8,False,2025-11-30T12:00:00Z,48,9964,574,139,435,8,0,1,0,0,0,0,0,0,3,0,0,0,0.00,0.00,0.00,0.11,1,1,1,0,2.0,0.0,0.0,0.2,0.0
El Hadji Malick Diouf,DEF,West Ham,603,13,130,12,True,2025-11-30T14:05:00Z,43,322476,1516,24439,-22923,90,1,1,0,0,0,2,0,0,5,0,0,0,0.00,0.01,0.01,1.24,6,6,4,0,11.0,12.2,2.0,2.5,0.0
Leon Chiwome,FWD,Wolves,657,13,121,2,False,2025-11-30T14:05:00Z,44,3587,68,136,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
João Victor Gomes da Silva,MID,Wolves,646,13,121,2,False,2025-11-30T14:05:00Z,53,10742,157,427,-270,90,1,4,0,0,0,1,0,0,18,0,0,0,0.17,0.02,0.19,1.00,14,2,9,3,12.0,9.7,19.0,4.1,0.0
Jaydon Banel,MID,Burnley,213,13,122,5,False,2025-11-29T15:00:00Z,45,5653,163,299,-136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
