timestamp_utc,timestamp_local,naptan,station,percentage_of_baseline,data_available,band,reading_time_utc
2026-07-13T06:01:10Z,2026-07-13 07:01:10,940GZZLUBLM,Balham,0.151347,true,quiet,2026-07-13T05:56:00.000Z
2026-07-13T06:01:10Z,2026-07-13 07:01:10,940GZZLUCPS,Clapham South,0.066454,true,quiet,2026-07-13T05:56:00.000Z
2026-07-13T06:01:10Z,2026-07-13 07:01:10,940GZZLUCPC,Clapham Common,0.027986,true,quiet,2026-07-13T05:56:00.000Z
2026-07-13T06:01:10Z,2026-07-13 07:01:10,940GZZLUCPN,Clapham North,0.039276,true,quiet,2026-07-13T05:56:00.000Z
2026-07-13T06:05:29Z,2026-07-13 07:05:29,940GZZLUCSD,Colliers Wood,0.118165,true,quiet,2026-07-13T05:56:00.000Z
2026-07-13T06:05:29Z,2026-07-13 07:05:29,940GZZLUTBY,Tooting Broadway,0.085516,true,quiet,2026-07-13T05:56:00.000Z
2026-07-13T06:05:29Z,2026-07-13 07:05:29,940GZZLUTBC,Tooting Bec,0.058201,true,quiet,2026-07-13T05:56:00.000Z
2026-07-13T06:05:29Z,2026-07-13 07:05:29,940GZZLUBLM,Balham,0.151347,true,quiet,2026-07-13T05:56:00.000Z
2026-07-13T06:05:29Z,2026-07-13 07:05:29,940GZZLUCPS,Clapham South,0.066454,true,quiet,2026-07-13T05:56:00.000Z
2026-07-13T06:05:29Z,2026-07-13 07:05:29,940GZZLUCPC,Clapham Common,0.027986,true,quiet,2026-07-13T05:56:00.000Z
2026-07-13T06:05:29Z,2026-07-13 07:05:29,940GZZLUCPN,Clapham North,0.039276,true,quiet,2026-07-13T05:56:00.000Z
2026-07-13T06:10:52Z,2026-07-13 07:10:52,940GZZLUCSD,Colliers Wood,0.134384,true,quiet,2026-07-13T06:06:00.000Z
2026-07-13T06:10:52Z,2026-07-13 07:10:52,940GZZLUTBY,Tooting Broadway,,true,none,2026-07-13T06:06:00.000Z
2026-07-13T06:10:52Z,2026-07-13 07:10:52,940GZZLUTBC,Tooting Bec,,true,none,2026-07-13T06:06:00.000Z
2026-07-13T06:10:52Z,2026-07-13 07:10:52,940GZZLUBLM,Balham,0.169836,true,quiet,2026-07-13T06:06:00.000Z
2026-07-13T06:10:52Z,2026-07-13 07:10:52,940GZZLUCPS,Clapham South,0.065544,true,quiet,2026-07-13T06:06:00.000Z
2026-07-13T06:10:52Z,2026-07-13 07:10:52,940GZZLUCPC,Clapham Common,0.029287,true,quiet,2026-07-13T06:06:00.000Z
2026-07-13T06:10:52Z,2026-07-13 07:10:52,940GZZLUCPN,Clapham North,0.042365,true,quiet,2026-07-13T06:06:00.000Z
2026-07-13T06:15:34Z,2026-07-13 07:15:34,940GZZLUCSD,Colliers Wood,0.134384,true,quiet,2026-07-13T06:06:00.000Z
2026-07-13T06:15:34Z,2026-07-13 07:15:34,940GZZLUTBY,Tooting Broadway,,true,none,2026-07-13T06:06:00.000Z
2026-07-13T06:15:34Z,2026-07-13 07:15:34,940GZZLUTBC,Tooting Bec,,true,none,2026-07-13T06:06:00.000Z
2026-07-13T06:15:34Z,2026-07-13 07:15:34,940GZZLUBLM,Balham,0.169836,true,quiet,2026-07-13T06:06:00.000Z
2026-07-13T06:15:34Z,2026-07-13 07:15:34,940GZZLUCPS,Clapham South,0.065544,true,quiet,2026-07-13T06:06:00.000Z
2026-07-13T06:15:34Z,2026-07-13 07:15:34,940GZZLUCPC,Clapham Common,0.029287,true,quiet,2026-07-13T06:06:00.000Z
2026-07-13T06:15:34Z,2026-07-13 07:15:34,940GZZLUCPN,Clapham North,0.042365,true,quiet,2026-07-13T06:06:00.000Z
2026-07-13T06:20:57Z,2026-07-13 07:20:57,940GZZLUCSD,Colliers Wood,0.158943,true,quiet,2026-07-13T06:16:00.000Z
2026-07-13T06:20:57Z,2026-07-13 07:20:57,940GZZLUTBY,Tooting Broadway,,true,none,2026-07-13T06:16:00.000Z
2026-07-13T06:20:57Z,2026-07-13 07:20:57,940GZZLUTBC,Tooting Bec,,true,none,2026-07-13T06:16:00.000Z
2026-07-13T06:20:57Z,2026-07-13 07:20:57,940GZZLUBLM,Balham,0.216852,true,quiet,2026-07-13T06:16:00.000Z
2026-07-13T06:20:57Z,2026-07-13 07:20:57,940GZZLUCPS,Clapham South,0.070096,true,quiet,2026-07-13T06:16:00.000Z
2026-07-13T06:20:57Z,2026-07-13 07:20:57,940GZZLUCPC,Clapham Common,0.032541,true,quiet,2026-07-13T06:16:00.000Z
2026-07-13T06:20:57Z,2026-07-13 07:20:57,940GZZLUCPN,Clapham North,0.044572,true,quiet,2026-07-13T06:16:00.000Z
