timestamp_utc,mode,metric,value,station
2026-07-08T07:41:05.448464+00:00,check,empty_docks,8,"Tooley Street, Bermondsey"
2026-07-08T16:15:39.658599+00:00,evening_summary,available_bikes,15,"Tooley Street, Bermondsey"
2026-07-08T16:31:18.880502+00:00,evening_check,available_bikes,17,"Tooley Street, Bermondsey"
2026-07-08T16:35:39.076686+00:00,evening_check,available_bikes,17,"Tooley Street, Bermondsey"
2026-07-08T16:41:07.174493+00:00,evening_second_summary,available_bikes,16,"Tooley Street, Bermondsey"
2026-07-08T16:45:40.814858+00:00,evening_check,available_bikes,16,"Tooley Street, Bermondsey"
2026-07-08T16:51:05.955068+00:00,evening_check,available_bikes,15,"Tooley Street, Bermondsey"
2026-07-08T16:55:33.419792+00:00,evening_check,available_bikes,17,"Tooley Street, Bermondsey"
2026-07-09T07:01:28.952874+00:00,check,empty_docks,14,"Tooley Street, Bermondsey"
2026-07-09T07:10:35.121252+00:00,summary,empty_docks,12,"Tooley Street, Bermondsey"
2026-07-09T07:11:02.172538+00:00,summary,empty_docks,12,"Tooley Street, Bermondsey"
2026-07-09T07:16:27.817676+00:00,check,empty_docks,11,"Tooley Street, Bermondsey"
2026-07-09T07:21:05.067000+00:00,check,empty_docks,11,"Tooley Street, Bermondsey"
2026-07-09T07:25:33.172277+00:00,morning_bikes,empty_docks,12,"Tooley Street, Bermondsey"
2026-07-09T07:36:16.400126+00:00,check,empty_docks,10,"Tooley Street, Bermondsey"
2026-07-09T07:41:08.346367+00:00,check,empty_docks,9,"Tooley Street, Bermondsey"
2026-07-09T16:15:40.883950+00:00,evening_summary,available_bikes,21,"Tooley Street, Bermondsey"
2026-07-09T16:31:18.164093+00:00,evening_check,available_bikes,20,"Tooley Street, Bermondsey"
2026-07-09T16:35:34.355155+00:00,evening_check,available_bikes,20,"Tooley Street, Bermondsey"
2026-07-09T16:41:00.423625+00:00,evening_second_summary,available_bikes,20,"Tooley Street, Bermondsey"
2026-07-09T16:45:41.989977+00:00,evening_check,available_bikes,21,"Tooley Street, Bermondsey"
2026-07-09T16:51:03.743715+00:00,evening_check,available_bikes,20,"Tooley Street, Bermondsey"
2026-07-09T16:55:34.013590+00:00,evening_check,available_bikes,20,"Tooley Street, Bermondsey"
2026-07-09T17:04:46.862895+00:00,status,empty_docks,4,"Tooley Street, Bermondsey"
2026-07-09T17:04:46.862992+00:00,status,available_bikes,20,"Tooley Street, Bermondsey"
2026-07-13T07:21:07.811754+00:00,check,empty_docks,3,"Tooley Street, Bermondsey"
2026-07-13T12:14:37.013594+00:00,status,empty_docks,5,"Tooley Street, Bermondsey"
2026-07-13T12:14:37.013675+00:00,status,available_bikes,13,"Tooley Street, Bermondsey"
2026-07-13T16:15:49.048376+00:00,evening_summary,available_bikes,6,"Tooley Street, Bermondsey"
2026-07-13T16:31:27.078855+00:00,evening_check,available_bikes,8,"Tooley Street, Bermondsey"
2026-07-13T16:35:43.167329+00:00,evening_check,available_bikes,7,"Tooley Street, Bermondsey"
